Comunidad Autónoma,Estadística,Valor
Nacional,activos,22873.7
Nacional,ocupados,18094.2
Nacional,parados,4779.5
Nacional,inactivos,15615.9
Andalucía,activos,4017.7
Andalucía,ocupados,2819.4
Andalucía,parados,1198.3
Andalucía,inactivos,2862.2
Aragón,activos,642.0
Aragón,ocupados,548.3
Aragón,parados,93.7
Aragón,inactivos,453.8
"Asturias, Principado de",activos,471.2
"Asturias, Principado de",ocupados,375.4
"Asturias, Principado de",parados,95.8
"Asturias, Principado de",inactivos,438.5
"Balears, Illes",activos,604.3
"Balears, Illes",ocupados,501.5
"Balears, Illes",parados,102.8
"Balears, Illes",inactivos,335.0
Canarias,activos,1110.4
Canarias,ocupados,813.3
Canarias,parados,297.1
Canarias,inactivos,685.5
Cantabria,activos,274.6
Cantabria,ocupados,226.0
Cantabria,parados,48.6
Cantabria,inactivos,217.8
Castilla y León,activos,1145.3
Castilla y León,ocupados,943.9
Castilla y León,parados,201.4
Castilla y León,inactivos,942.4
Castilla - La Mancha,activos,988.6
Castilla - La Mancha,ocupados,741.7
Castilla - La Mancha,parados,246.8
Castilla - La Mancha,inactivos,696.0
Cataluña,activos,3770.5
Cataluña,ocupados,3101.9
Cataluña,parados,668.6
Cataluña,inactivos,2307.2
Comunitat Valenciana,activos,2426.0
Comunitat Valenciana,ocupados,1905.6
Comunitat Valenciana,parados,520.4
Comunitat Valenciana,inactivos,1672.6
Extremadura,activos,500.5
Extremadura,ocupados,360.0
Extremadura,parados,140.5
Extremadura,inactivos,410.1
Galicia,activos,1255.2
Galicia,ocupados,1032.5
Galicia,parados,222.7
Galicia,inactivos,1098.6
"Madrid, Comunidad de",activos,3408.5
"Madrid, Comunidad de",ocupados,2845.7
"Madrid, Comunidad de",parados,562.8
"Madrid, Comunidad de",inactivos,1855.7
"Murcia, Región de",activos,701.2
"Murcia, Región de",ocupados,536.3
"Murcia, Región de",parados,164.9
"Murcia, Región de",inactivos,481.2
"Navarra, Comunidad Foral de",activos,305.7
"Navarra, Comunidad Foral de",ocupados,264.4
"Navarra, Comunidad Foral de",parados,41.4
"Navarra, Comunidad Foral de",inactivos,215.4
País Vasco,activos,1027.4
País Vasco,ocupados,894.9
País Vasco,parados,132.5
País Vasco,inactivos,782.7
"Rioja, La",activos,153.8
"Rioja, La",ocupados,132.3
"Rioja, La",parados,21.5
"Rioja, La",inactivos,105.3
Ceuta,activos,36.2
Ceuta,ocupados,27.8
Ceuta,parados,8.4
Ceuta,inactivos,28.6
Melilla,activos,34.6
Melilla,ocupados,23.3
Melilla,parados,11.3
Melilla,inactivos,27.5
