Año,Trimestre,Provincia,Total,Activos,Ocupados,Parados,Parados que buscan primer empleo,Inactivos
2016,1,Albacete,326400,183400,138200,45200,5100,143000
2015,4,Albacete,326700,189700,148000,41700,4800,137000
2015,3,Albacete,327000,188700,144800,43900,5400,138200
2015,2,Albacete,327400,190500,143500,47000,5200,136900
2015,1,Albacete,327600,187400,133400,54000,5800,140200
2014,4,Albacete,327800,187400,136200,51200,5500,140400
2014,3,Albacete,328200,186500,132400,54200,5400,141700
2014,2,Albacete,328300,187700,137700,50000,5300,140600
2014,1,Albacete,327500,188200,137100,51000,4000,139300
2013,4,Albacete,328000,189100,134300,54800,3600,138900
2013,3,Albacete,329000,195800,136000,59800,5600,133100
2013,2,Albacete,329600,192100,133400,58800,4500,137400
2013,1,Albacete,330300,190700,126200,64500,3600,139600
2012,4,Albacete,330800,187100,123600,63500,4500,143700
2012,3,Albacete,331200,186100,126200,59900,6100,145100
2012,2,Albacete,331500,191400,129500,61900,6100,140100
2012,1,Albacete,332000,193600,137100,56500,5700,138300
2011,4,Albacete,332200,195400,145800,49600,6000,136800
2011,3,Albacete,332000,198900,147700,51200,3800,133100
2011,2,Albacete,331900,199500,150800,48700,3800,132400
2011,1,Albacete,331600,194300,149000,45300,3700,137400
2010,4,Albacete,331400,196400,154700,41700,3700,135000
2010,3,Albacete,331100,194400,151300,43200,4800,136700
2010,2,Albacete,330800,195700,148600,47100,3800,135100
2010,1,Albacete,330500,191200,146900,44200,3800,139400
2009,4,Albacete,330400,189000,148400,40600,2300,141400
2009,3,Albacete,330100,194800,157400,37300,2600,135400
2009,2,Albacete,329700,192500,154000,38500,3300,137100
2009,1,Albacete,329600,198500,161800,36700,3800,131200
2008,4,Albacete,329400,193600,160700,32900,3700,135800
2008,3,Albacete,328600,196600,174000,22600,2500,132000
2008,2,Albacete,327700,191000,171200,19800,1900,136700
2008,1,Albacete,326900,191000,172000,19000,2200,136000
2007,4,Albacete,326200,195000,174400,20600,2300,131200
2007,3,Albacete,324800,192400,177600,14700,2700,132400
2007,2,Albacete,323600,186200,169300,16900,2600,137400
2007,1,Albacete,322400,186500,169000,17500,1500,135900
2006,4,Albacete,320900,178100,163500,14600,1100,142800
2006,3,Albacete,319500,178400,157400,21000,2500,141100
2006,2,Albacete,318100,176900,157800,19100,2900,141200
2006,1,Albacete,316900,173800,157700,16100,1800,143200
2005,4,Albacete,315900,180100,160700,19400,2600,135800
2005,3,Albacete,314900,178700,159900,18800,3100,136100
2005,2,Albacete,313900,171400,159100,12300,1900,142500
2005,1,Albacete,312600,169500,151200,18400,3000,143100
2004,4,Albacete,311700,170700,153900,16800,1700,141000
2004,3,Albacete,310400,164400,149500,14900,2300,146000
2004,2,Albacete,309300,162700,150100,12600,1200,146600
2004,1,Albacete,308300,169200,153400,15900,1300,139000
2003,4,Albacete,307500,161400,149300,12100,900,146100
2003,3,Albacete,306500,161200,148700,12500,3300,145300
2003,2,Albacete,305400,157400,145600,11800,1600,148000
2003,1,Albacete,304400,153700,141300,12400,900,150700
2002,4,Albacete,303200,158400,145300,13100,2900,144800
2002,3,Albacete,302000,156200,144500,11700,2200,145800
2002,2,Albacete,300800,152100,143800,8300,1000,148700
2002,1,Albacete,299700,147500,137800,9700,800,152200
2016,1,Alicante/Alacant,1538400,892600,681700,210800,13200,645800
2015,4,Alicante/Alacant,1539100,898300,692000,206300,15400,640900
2015,3,Alicante/Alacant,1540700,896900,687100,209800,20600,643800
2015,2,Alicante/Alacant,1539000,898100,681600,216500,25400,640900
2015,1,Alicante/Alacant,1551600,893400,657400,236000,22700,658200
2014,4,Alicante/Alacant,1550400,889200,667700,221500,19900,661200
2014,3,Alicante/Alacant,1556100,887700,671600,216100,19400,668400
2014,2,Alicante/Alacant,1552900,896700,662900,233900,20200,656100
2014,1,Alicante/Alacant,1545100,888300,632500,255800,20700,656900
2013,4,Alicante/Alacant,1545200,908500,640700,267800,23100,636700
2013,3,Alicante/Alacant,1548600,904700,661500,243100,27500,644000
2013,2,Alicante/Alacant,1546200,900700,654600,246200,15900,645400
2013,1,Alicante/Alacant,1547000,888700,628000,260700,15700,658300
2012,4,Alicante/Alacant,1547900,883600,634400,249200,19800,664300
2012,3,Alicante/Alacant,1547500,899500,654700,244900,24100,648000
2012,2,Alicante/Alacant,1546300,906900,659400,247500,20200,639400
2012,1,Alicante/Alacant,1546000,903200,637800,265500,16300,642800
2011,4,Alicante/Alacant,1545600,908300,674300,234000,18600,637300
2011,3,Alicante/Alacant,1543300,890400,680500,209800,20400,653000
2011,2,Alicante/Alacant,1540700,888500,686500,201900,12800,652200
2011,1,Alicante/Alacant,1539300,872200,666500,205700,12900,667100
2010,4,Alicante/Alacant,1539100,895300,674300,221000,11200,643800
2010,3,Alicante/Alacant,1537300,909500,683900,225600,11000,627800
2010,2,Alicante/Alacant,1535700,894200,679900,214300,8100,641400
2010,1,Alicante/Alacant,1535600,896400,688400,208000,8200,639200
2009,4,Alicante/Alacant,1536400,916900,702700,214100,7000,619500
2009,3,Alicante/Alacant,1535200,928400,725900,202500,11300,606800
2009,2,Alicante/Alacant,1533700,930500,732800,197700,10300,603200
2009,1,Alicante/Alacant,1533300,908800,714100,194700,16100,624500
2008,4,Alicante/Alacant,1533000,920100,773500,146500,10400,612900
2008,3,Alicante/Alacant,1529800,902700,780800,121900,14000,627200
2008,2,Alicante/Alacant,1526000,902800,780200,122500,6000,623300
2008,1,Alicante/Alacant,1522000,883400,786600,96800,4100,638600
2007,4,Alicante/Alacant,1515900,873600,775500,98100,6200,642300
2007,3,Alicante/Alacant,1505100,879800,796500,83200,7100,625300
2007,2,Alicante/Alacant,1493600,866000,776000,90000,7900,627500
2007,1,Alicante/Alacant,1482800,842700,750600,92100,8600,640100
2006,4,Alicante/Alacant,1471700,852300,763500,88800,7400,619400
2006,3,Alicante/Alacant,1459200,849000,774900,74100,7700,610200
2006,2,Alicante/Alacant,1447600,844300,772700,71600,9400,603200
2006,1,Alicante/Alacant,1436700,828800,738700,90000,7200,607900
2005,4,Alicante/Alacant,1427500,802900,720400,82500,6300,624600
2005,3,Alicante/Alacant,1416000,812900,743200,69700,8800,603100
2005,2,Alicante/Alacant,1405500,810300,734300,76000,6100,595200
2005,1,Alicante/Alacant,1392800,816100,732300,83800,7800,576800
2004,4,Alicante/Alacant,1380600,810800,726200,84600,7200,569900
2004,3,Alicante/Alacant,1365200,801200,716200,85000,7700,564000
2004,2,Alicante/Alacant,1352500,781100,694100,87100,6600,571300
2004,1,Alicante/Alacant,1340400,761700,683500,78200,5600,578700
2003,4,Alicante/Alacant,1328900,760700,669100,91600,6400,568200
2003,3,Alicante/Alacant,1315800,750800,661000,89800,10700,565000
2003,2,Alicante/Alacant,1303500,716600,626700,89900,8800,586900
2003,1,Alicante/Alacant,1290400,711100,620100,91000,8400,579200
2002,4,Alicante/Alacant,1276600,704600,628800,75800,10900,572000
2002,3,Alicante/Alacant,1262400,696500,623300,73200,10500,566000
2002,2,Alicante/Alacant,1249100,693400,613800,79500,8200,555700
2002,1,Alicante/Alacant,1235400,672100,604900,67200,10200,563300
2016,1,Almería,562800,334400,252800,81600,3100,228400
2015,4,Almería,561800,331200,248000,83200,5500,230600
2015,3,Almería,561000,340200,234400,105700,13600,220900
2015,2,Almería,559600,341000,241800,99200,10800,218600
2015,1,Almería,558500,343900,238400,105400,8600,214700
2014,4,Almería,557800,354400,227900,126500,13600,203500
2014,3,Almería,557500,347900,217400,130600,14100,209600
2014,2,Almería,556800,353600,227000,126600,12400,203200
2014,1,Almería,557400,361800,241100,120700,10400,195600
2013,4,Almería,558000,358100,230300,127800,9100,199900
2013,3,Almería,559400,349700,216200,133500,6100,209800
2013,2,Almería,560000,364300,238600,125700,5400,195800
2013,1,Almería,559900,359600,230600,129000,5900,200300
2012,4,Almería,559600,357300,231500,125700,6300,202400
2012,3,Almería,559100,360800,225100,135700,6600,198300
2012,2,Almería,558700,356200,233500,122700,6900,202500
2012,1,Almería,558500,361300,238400,122900,6000,197200
2011,4,Almería,558500,358400,241000,117300,8400,200200
2011,3,Almería,557800,360500,234700,125900,8200,197300
2011,2,Almería,557700,355700,231800,123900,8200,202000
2011,1,Almería,557300,364600,249700,114900,9500,192700
2010,4,Almería,557000,358300,263200,95000,5400,198700
2010,3,Almería,556100,350800,255200,95500,6300,205300
2010,2,Almería,554900,356300,248900,107400,7900,198600
2010,1,Almería,553600,364000,261500,102500,3500,189700
2009,4,Almería,552400,350600,264400,86100,4400,201900
